CODE_COM;APL_EHPA;APL_RA;APL_SAPA
40147;100469.55;0.0;431.35
40222;85500.56;164.02;2202.93
40223;30796.42;0.0;729.48
40225;56241.59;38.85;1308.68
40331;110403.1;0.0;256.56
41013;73463.83;746.2;239.88
41161;78483.4;253.84;0.0
41166;61916.91;148.01;0.0
41169;54746.48;698.29;888.37
41282;100306.1;263.9;54.77
41285;82667.03;345.31;77.09
43230;94964.59;128.16;1846.31
43237;101291.66;0.0;2012.82
44037;127306.75;424.71;1157.27
44059;104362.36;134.47;136.08
44105;79291.77;118.78;175.8
44197;66676.53;0.0;175.8
44201;117641.54;359.5;1789.75
44222;87654.81;186.34;243.12
45013;76267.59;105.92;707.77
45023;89198.1;385.49;1582.03
45027;87522.29;471.3;1107.95
45028;138822.18;679.94;1393.4
45040;130260.03;853.76;2402.6
45044;63771.7;344.47;1052.05
45054;81814.7;105.92;707.77
45062;98955.78;595.37;1097.39
45063;64633.01;255.75;380.16
45064;66514.68;1109.51;1490.79
45065;54470.26;286.58;572.42
45066;81145.71;343.21;1045.63
45076;104665.4;546.0;857.52
45102;124375.52;191.0;1378.52
45120;77172.94;385.49;1582.03
45136;86961.17;546.0;149.92
45146;89481.39;673.86;390.92
45162;27662.87;78.13;613.94
45183;66674.75;344.47;774.4
45186;104911.01;541.21;1276.14
45190;55015.23;236.72;609.48
45193;63381.8;328.55;387.77
45195;78672.71;436.07;644.56
45199;77706.79;440.41;539.61
45201;56292.79;355.0;144.05
45206;99051.78;389.0;1121.25
45207;90864.09;389.0;1154.71
45209;100029.27;357.95;905.35
45213;72956.85;0.0;655.68
45225;75020.39;155.78;604.9
45231;66608.48;263.07;1118.18
45238;125379.24;853.76;1561.4
45246;48076.86;313.7;746.28
45250;82300.29;778.53;949.44
45256;108387.92;471.3;1107.95
45266;53072.98;344.47;715.38
45268;79072.06;0.0;259.9
45271;87150.55;641.24;1561.4
45273;87326.19;696.35;1187.92
45276;87123.48;1109.51;1561.4
45283;92555.96;191.0;1047.04
45284;121446.39;696.35;1031.63
45291;89304.91;641.24;1385.33
45299;71513.82;162.05;2841.91
45307;63246.04;546.0;858.62
45326;70022.98;486.35;2764.53
45332;79725.19;191.0;1429.85
45344;109633.13;178.33;451.69
45347;45586.64;357.95;732.52
45348;83788.47;307.99;909.46
46005;80166.04;630.94;301.57
46012;108545.54;1332.13;366.47
46013;58023.83;262.24;477.18
46014;77698.97;1419.11;1423.74
46015;141098.19;454.75;2189.46
46020;65317.66;138.94;477.18
46022;57204.76;630.94;301.57
46024;115642.03;1332.13;1071.57
46041;43332.23;0.0;490.89
46048;101323.47;508.79;239.08
46049;51335.31;0.0;949.21
46051;118089.69;779.84;1301.49
46054;68313.31;580.21;249.22
46070;68727.43;747.16;1157.47
46077;59803.32;598.45;1672.96
46093;67477.46;376.43;1052.27
46118;36839.15;393.51;378.3
46123;111996.33;1272.22;1290.77
46130;64066.31;840.4;301.57
46143;122116.34;1288.62;815.06
46151;89685.22;1428.59;2288.99
46170;95369.99;1332.13;347.6
46173;80509.37;138.94;949.21
46187;69199.38;888.0;1753.67
46190;78403.53;598.45;1672.96
46196;65533.02;603.56;1166.82
46197;92528.39;747.16;1470.56
46208;100819.37;1876.86;835.98
46211;86902.1;1052.58;1423.74
46223;92925.35;1052.58;1658.68
46225;87999.36;630.94;301.57
46227;94903.63;138.94;949.21
46258;99494.02;426.75;865.25
46260;104242.61;376.43;1035.27
46262;48559.52;0.0;0.0
46272;96542.91;454.75;1212.51
46289;53928.65;230.56;1287.08
46292;108612.15;1058.07;268.09
46294;77242.98;956.65;1536.3
46300;66472.51;740.38;1834.61
46314;77002.53;654.66;0.0
46323;75738.86;1025.19;2288.99
46335;71728.14;1005.12;1423.74
47001;130478.8;922.02;2239.78
47006;78664.0;197.92;1049.9
47017;50285.61;209.46;690.69
47021;73401.25;87.85;697.29
47023;103558.28;136.66;1056.07
47050;61098.69;663.3;1509.88
47052;94501.9;444.67;1419.47
47054;95983.84;344.45;1678.29
47066;80248.83;1029.58;1827.81
47082;24456.58;126.82;113.1
47090;112558.71;886.94;1593.79
47092;80945.19;860.75;1849.18
47117;56591.94;209.46;745.9
47139;125313.32;206.72;1149.63
47143;123762.56;590.12;1108.56
47154;74522.1;883.05;1779.55
47162;70350.22;420.23;1042.31
47172;88011.39;733.93;1544.06
47176;99265.49;617.79;1239.34
47189;69893.71;477.12;1363.77
47219;98553.71;144.32;858.75
47224;60593.15;543.06;979.22
47230;64505.65;326.4;1301.75
47239;94759.77;197.92;1744.69
47250;101791.65;366.28;1456.95
47273;46848.49;663.3;1531.55
47321;89663.83;1161.38;402.24
47328;58361.89;740.38;1834.61
48020;19886.14;0.0;0.0
48036;32994.47;0.0;0.0
48074;90211.78;0.0;104.85
48150;175891.89;888.2;124.23
48165;123035.99;0.0;67.31
48179;94233.72;0.0;2322.02
48193;95032.35;0.0;68.11
49031;81829.42;1325.81;476.79
49083;98647.18;690.79;686.85
